STATION,NAME,DATE,AWND,PRCP,SNOW,TMAX,TMIN
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/21/08,7.83,0.01,0,82,61
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/22/08,5.14,0.16,0,82,57
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/23/08,6.49,0,0,77,56
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/24/08,5.82,0,0,82,55
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/25/08,9.4,0.08,0,79,66
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/26/08,7.38,0,0,86,70
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/27/08,7.38,0,0,84,66
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/28/08,13.2,0.04,0,83,64
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/29/08,9.62,0.58,0,75,60
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/30/08,9.62,0,0,80,59
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/1/08,8.05,0,0,83,58
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/2/08,13.2,0.2,0,87,63
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/3/08,12.08,0,0,71,55
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/4/08,6.71,0,0,76,52
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/5/08,6.93,0,0,80,54
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/6/08,9.4,0,0,87,59
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/7/08,11.86,0.03,0,87,71
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/8/08,9.17,0.03,0,85,70
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/9/08,10.29,0,0,85,67
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/10/08,9.17,0.72,0,82,64
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/11/08,8.5,0.34,0,88,64
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/12/08,10.29,0.73,0,81,65
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/13/08,12.3,0,0,79,62
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/14/08,7.83,0,0,84,62
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/15/08,7.38,0,0,90,61
